2016-02-17 23:36:06 startup archives install
2016-02-17 23:36:06 install base-passwd:armhf <none> 3.5.33
2016-02-17 23:36:06 status half-installed base-passwd:armhf 3.5.33
2016-02-17 23:36:06 status unpacked base-passwd:armhf 3.5.33
2016-02-17 23:36:07 status unpacked base-passwd:armhf 3.5.33
2016-02-17 23:36:07 configure base-passwd:armhf 3.5.33 3.5.33
2016-02-17 23:36:07 status unpacked base-passwd:armhf 3.5.33
2016-02-17 23:36:07 status half-configured base-passwd:armhf 3.5.33
2016-02-17 23:36:07 status installed base-passwd:armhf 3.5.33
2016-02-17 23:36:07 startup archives install
2016-02-17 23:36:07 install base-files:armhf <none> 7.2ubuntu5
2016-02-17 23:36:07 status half-installed base-files:armhf 7.2ubuntu5
2016-02-17 23:36:08 status unpacked base-files:armhf 7.2ubuntu5
2016-02-17 23:36:08 status unpacked base-files:armhf 7.2ubuntu5
2016-02-17 23:36:08 configure base-files:armhf 7.2ubuntu5 7.2ubuntu5
2016-02-17 23:36:08 status unpacked base-files:armhf 7.2ubuntu5
2016-02-17 23:36:08 status unpacked base-files:armhf 7.2ubuntu5
2016-02-17 23:36:08 status unpacked base-files:armhf 7.2ubuntu5
2016-02-17 23:36:08 status unpacked base-files:armhf 7.2ubuntu5
2016-02-17 23:36:08 status unpacked base-files:armhf 7.2ubuntu5
2016-02-17 23:36:08 status unpacked base-files:armhf 7.2ubuntu5
2016-02-17 23:36:08 status unpacked base-files:armhf 7.2ubuntu5
2016-02-17 23:36:08 status unpacked base-files:armhf 7.2ubuntu5
2016-02-17 23:36:08 status unpacked base-files:armhf 7.2ubuntu5
2016-02-17 23:36:08 status unpacked base-files:armhf 7.2ubuntu5
2016-02-17 23:36:08 status unpacked base-files:armhf 7.2ubuntu5
2016-02-17 23:36:08 status unpacked base-files:armhf 7.2ubuntu5
2016-02-17 23:36:08 status half-configured base-files:armhf 7.2ubuntu5
2016-02-17 23:36:08 status installed base-files:armhf 7.2ubuntu5
2016-02-17 23:36:09 startup archives install
2016-02-17 23:36:09 upgrade dpkg 1.17.5ubuntu5 1.17.5ubuntu5
2016-02-17 23:36:09 status half-configured dpkg 1.17.5ubuntu5
2016-02-17 23:36:09 status unpacked dpkg 1.17.5ubuntu5
2016-02-17 23:36:09 status half-installed dpkg 1.17.5ubuntu5
2016-02-17 23:36:09 status half-installed dpkg 1.17.5ubuntu5
2016-02-17 23:36:09 status unpacked dpkg 1.17.5ubuntu5
2016-02-17 23:36:09 status unpacked dpkg 1.17.5ubuntu5
2016-02-17 23:36:09 configure dpkg 1.17.5ubuntu5 1.17.5ubuntu5
2016-02-17 23:36:09 status unpacked dpkg 1.17.5ubuntu5
2016-02-17 23:36:10 status unpacked dpkg 1.17.5ubuntu5
2016-02-17 23:36:10 status unpacked dpkg 1.17.5ubuntu5
2016-02-17 23:36:10 status unpacked dpkg 1.17.5ubuntu5
2016-02-17 23:36:10 status unpacked dpkg 1.17.5ubuntu5
2016-02-17 23:36:10 status half-configured dpkg 1.17.5ubuntu5
2016-02-17 23:36:10 status installed dpkg 1.17.5ubuntu5
2016-02-17 23:36:10 startup archives install
2016-02-17 23:36:10 install libc6:armhf <none> 2.19-0ubuntu6
2016-02-17 23:36:10 status half-installed libc6:armhf 2.19-0ubuntu6
2016-02-17 23:36:11 status unpacked libc6:armhf 2.19-0ubuntu6
2016-02-17 23:36:11 status unpacked libc6:armhf 2.19-0ubuntu6
2016-02-17 23:36:11 configure libc6:armhf 2.19-0ubuntu6 2.19-0ubuntu6
2016-02-17 23:36:11 status unpacked libc6:armhf 2.19-0ubuntu6
2016-02-17 23:36:11 status unpacked libc6:armhf 2.19-0ubuntu6
2016-02-17 23:36:11 status half-configured libc6:armhf 2.19-0ubuntu6
2016-02-17 23:36:12 status installed libc6:armhf 2.19-0ubuntu6
2016-02-17 23:36:12 startup archives install
2016-02-17 23:36:12 install perl-base:armhf <none> 5.18.2-2ubuntu1
2016-02-17 23:36:12 status half-installed perl-base:armhf 5.18.2-2ubuntu1
2016-02-17 23:36:13 status unpacked perl-base:armhf 5.18.2-2ubuntu1
2016-02-17 23:36:13 status unpacked perl-base:armhf 5.18.2-2ubuntu1
2016-02-17 23:36:13 configure perl-base:armhf 5.18.2-2ubuntu1 5.18.2-2ubuntu1
2016-02-17 23:36:13 status unpacked perl-base:armhf 5.18.2-2ubuntu1
2016-02-17 23:36:13 status half-configured perl-base:armhf 5.18.2-2ubuntu1
2016-02-17 23:36:13 status installed perl-base:armhf 5.18.2-2ubuntu1
2016-02-17 23:36:13 startup archives install
2016-02-17 23:36:13 install mawk:armhf <none> 1.3.3-17ubuntu2
2016-02-17 23:36:13 status half-installed mawk:armhf 1.3.3-17ubuntu2
2016-02-17 23:36:13 status unpacked mawk:armhf 1.3.3-17ubuntu2
2016-02-17 23:36:14 status unpacked mawk:armhf 1.3.3-17ubuntu2
2016-02-17 23:36:14 configure mawk:armhf 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2016-02-17 23:36:14 status unpacked mawk:armhf 1.3.3-17ubuntu2
2016-02-17 23:36:14 status half-configured mawk:armhf 1.3.3-17ubuntu2
2016-02-17 23:36:14 status installed mawk:armhf 1.3.3-17ubuntu2
2016-02-17 23:36:14 startup archives unpack
2016-02-17 23:36:14 install adduser:all <none> 3.113+nmu3ubuntu3
2016-02-17 23:36:14 status half-installed adduser:all 3.113+nmu3ubuntu3
2016-02-17 23:36:14 status unpacked adduser:all 3.113+nmu3ubuntu3
2016-02-17 23:36:15 status unpacked adduser:all 3.113+nmu3ubuntu3
2016-02-17 23:36:15 upgrade base-files:armhf 7.2ubuntu5 7.2ubuntu5
2016-02-17 23:36:15 status half-configured base-files:armhf 7.2ubuntu5
2016-02-17 23:36:15 status unpacked base-files:armhf 7.2ubuntu5
2016-02-17 23:36:15 status half-installed base-files:armhf 7.2ubuntu5
2016-02-17 23:36:15 status half-installed base-files:armhf 7.2ubuntu5
2016-02-17 23:36:15 status unpacked base-files:armhf 7.2ubuntu5
2016-02-17 23:36:15 status unpacked base-files:armhf 7.2ubuntu5
2016-02-17 23:36:15 upgrade base-passwd:armhf 3.5.33 3.5.33
2016-02-17 23:36:15 status half-configured base-passwd:armhf 3.5.33
2016-02-17 23:36:15 status unpacked base-passwd:armhf 3.5.33
2016-02-17 23:36:16 status half-installed base-passwd:armhf 3.5.33
2016-02-17 23:36:16 status half-installed base-passwd:armhf 3.5.33
2016-02-17 23:36:16 status unpacked base-passwd:armhf 3.5.33
2016-02-17 23:36:16 status unpacked base-passwd:armhf 3.5.33
2016-02-17 23:36:16 install bash:armhf <none> 4.3-6ubuntu1
2016-02-17 23:36:16 status half-installed bash:armhf 4.3-6ubuntu1
2016-02-17 23:36:16 status unpacked bash:armhf 4.3-6ubuntu1
2016-02-17 23:36:16 status unpacked bash:armhf 4.3-6ubuntu1
2016-02-17 23:36:17 install bsdutils:armhf <none> 1:2.20.1-5.1ubuntu20
2016-02-17 23:36:17 status half-installed bsdutils:armhf 1:2.20.1-5.1ubuntu20
2016-02-17 23:36:17 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu20
2016-02-17 23:36:17 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu20
2016-02-17 23:36:17 install busybox-initramfs:armhf <none> 1:1.21.0-1ubuntu1
2016-02-17 23:36:17 status half-installed busybox-initramfs:armhf 1:1.21.0-1ubuntu1
2016-02-17 23:36:17 status unpacked busybox-initramfs:armhf 1:1.21.0-1ubuntu1
2016-02-17 23:36:17 status unpacked busybox-initramfs:armhf 1:1.21.0-1ubuntu1
2016-02-17 23:36:17 install coreutils:armhf <none> 8.21-1ubuntu5
2016-02-17 23:36:17 status half-installed coreutils:armhf 8.21-1ubuntu5
2016-02-17 23:36:18 status unpacked coreutils:armhf 8.21-1ubuntu5
2016-02-17 23:36:18 status unpacked coreutils:armhf 8.21-1ubuntu5
2016-02-17 23:36:18 install cpio:armhf <none> 2.11+dfsg-1ubuntu1
2016-02-17 23:36:18 status half-installed cpio:armhf 2.11+dfsg-1ubuntu1
2016-02-17 23:36:18 status unpacked cpio:armhf 2.11+dfsg-1ubuntu1
2016-02-17 23:36:18 status unpacked cpio:armhf 2.11+dfsg-1ubuntu1
2016-02-17 23:36:19 install dash:armhf <none> 0.5.7-4ubuntu1
2016-02-17 23:36:19 status half-installed dash:armhf 0.5.7-4ubuntu1
2016-02-17 23:36:19 status unpacked dash:armhf 0.5.7-4ubuntu1
2016-02-17 23:36:19 status unpacked dash:armhf 0.5.7-4ubuntu1
2016-02-17 23:36:19 install debconf:all <none> 1.5.51ubuntu2
2016-02-17 23:36:19 status half-installed debconf:all 1.5.51ubuntu2
2016-02-17 23:36:19 status unpacked debconf:all 1.5.51ubuntu2
2016-02-17 23:36:19 status unpacked debconf:all 1.5.51ubuntu2
2016-02-17 23:36:20 install debianutils:armhf <none> 4.4
2016-02-17 23:36:20 status half-installed debianutils:armhf 4.4
2016-02-17 23:36:20 status unpacked debianutils:armhf 4.4
2016-02-17 23:36:20 status unpacked debianutils:armhf 4.4
2016-02-17 23:36:20 install diffutils:armhf <none> 1:3.3-1
2016-02-17 23:36:20 status half-installed diffutils:armhf 1:3.3-1
2016-02-17 23:36:20 status unpacked diffutils:armhf 1:3.3-1
2016-02-17 23:36:20 status unpacked diffutils:armhf 1:3.3-1
2016-02-17 23:36:21 upgrade dpkg:armhf 1.17.5ubuntu5 1.17.5ubuntu5
2016-02-17 23:36:21 status half-configured dpkg:armhf 1.17.5ubuntu5
2016-02-17 23:36:21 status unpacked dpkg:armhf 1.17.5ubuntu5
2016-02-17 23:36:21 status half-installed dpkg:armhf 1.17.5ubuntu5
2016-02-17 23:36:21 status half-installed dpkg:armhf 1.17.5ubuntu5
2016-02-17 23:36:21 status unpacked dpkg:armhf 1.17.5ubuntu5
2016-02-17 23:36:21 status unpacked dpkg:armhf 1.17.5ubuntu5
2016-02-17 23:36:21 install e2fslibs:armhf <none> 1.42.9-3ubuntu1
2016-02-17 23:36:21 status half-installed e2fslibs:armhf 1.42.9-3ubuntu1
2016-02-17 23:36:22 status unpacked e2fslibs:armhf 1.42.9-3ubuntu1
2016-02-17 23:36:22 status unpacked e2fslibs:armhf 1.42.9-3ubuntu1
2016-02-17 23:36:22 install e2fsprogs:armhf <none> 1.42.9-3ubuntu1
2016-02-17 23:36:22 status half-installed e2fsprogs:armhf 1.42.9-3ubuntu1
2016-02-17 23:36:22 status unpacked e2fsprogs:armhf 1.42.9-3ubuntu1
2016-02-17 23:36:22 status unpacked e2fsprogs:armhf 1.42.9-3ubuntu1
2016-02-17 23:36:23 install findutils:armhf <none> 4.4.2-7
2016-02-17 23:36:23 status half-installed findutils:armhf 4.4.2-7
2016-02-17 23:36:23 status unpacked findutils:armhf 4.4.2-7
2016-02-17 23:36:23 status unpacked findutils:armhf 4.4.2-7
2016-02-17 23:36:23 install gcc-4.9-base:armhf <none> 4.9-20140406-0ubuntu1
2016-02-17 23:36:23 status half-installed gcc-4.9-base:armhf 4.9-20140406-0ubuntu1
2016-02-17 23:36:23 status unpacked gcc-4.9-base:armhf 4.9-20140406-0ubuntu1
2016-02-17 23:36:23 status unpacked gcc-4.9-base:armhf 4.9-20140406-0ubuntu1
2016-02-17 23:36:23 install grep:armhf <none> 2.16-1
2016-02-17 23:36:23 status half-installed grep:armhf 2.16-1
2016-02-17 23:36:23 status unpacked grep:armhf 2.16-1
2016-02-17 23:36:24 status unpacked grep:armhf 2.16-1
2016-02-17 23:36:24 install gzip:armhf <none> 1.6-3ubuntu1
2016-02-17 23:36:24 status half-installed gzip:armhf 1.6-3ubuntu1
2016-02-17 23:36:24 status unpacked gzip:armhf 1.6-3ubuntu1
2016-02-17 23:36:24 status unpacked gzip:armhf 1.6-3ubuntu1
2016-02-17 23:36:24 install hostname:armhf <none> 3.15ubuntu1
2016-02-17 23:36:24 status half-installed hostname:armhf 3.15ubuntu1
2016-02-17 23:36:24 status unpacked hostname:armhf 3.15ubuntu1
2016-02-17 23:36:24 status unpacked hostname:armhf 3.15ubuntu1
2016-02-17 23:36:25 install ifupdown:armhf <none> 0.7.47.2ubuntu4
2016-02-17 23:36:25 status half-installed ifupdown:armhf 0.7.47.2ubuntu4
2016-02-17 23:36:25 status unpacked ifupdown:armhf 0.7.47.2ubuntu4
2016-02-17 23:36:25 status unpacked ifupdown:armhf 0.7.47.2ubuntu4
2016-02-17 23:36:25 install initramfs-tools:all <none> 0.103ubuntu4
2016-02-17 23:36:25 status half-installed initramfs-tools:all 0.103ubuntu4
2016-02-17 23:36:25 status unpacked initramfs-tools:all 0.103ubuntu4
2016-02-17 23:36:26 status unpacked initramfs-tools:all 0.103ubuntu4
2016-02-17 23:36:26 install initramfs-tools-bin:armhf <none> 0.103ubuntu4
2016-02-17 23:36:26 status half-installed initramfs-tools-bin:armhf 0.103ubuntu4
2016-02-17 23:36:26 status unpacked initramfs-tools-bin:armhf 0.103ubuntu4
2016-02-17 23:36:26 status unpacked initramfs-tools-bin:armhf 0.103ubuntu4
2016-02-17 23:36:26 install initscripts:armhf <none> 2.88dsf-41ubuntu6
2016-02-17 23:36:26 status half-installed initscripts:armhf 2.88dsf-41ubuntu6
2016-02-17 23:36:26 status unpacked initscripts:armhf 2.88dsf-41ubuntu6
2016-02-17 23:36:26 status unpacked initscripts:armhf 2.88dsf-41ubuntu6
2016-02-17 23:36:27 install insserv:armhf <none> 1.14.0-5ubuntu2
2016-02-17 23:36:27 status half-installed insserv:armhf 1.14.0-5ubuntu2
2016-02-17 23:36:27 status unpacked insserv:armhf 1.14.0-5ubuntu2
2016-02-17 23:36:27 status unpacked insserv:armhf 1.14.0-5ubuntu2
2016-02-17 23:36:27 install iproute2:armhf <none> 3.12.0-2
2016-02-17 23:36:27 status half-installed iproute2:armhf 3.12.0-2
2016-02-17 23:36:27 status unpacked iproute2:armhf 3.12.0-2
